"manufacturer_new","Model","Price","Ps"
"Mercedes-Benz","""G""",157989,620
"Mercedes-Benz","""GT""",111111,476
"Mercedes-Benz","""S""",151890,469
"Mercedes-Benz","""AMG""",129000,510
"Mercedes-Benz","""V""",165000,190
"Mercedes-Benz","""GT""",124900,630
"Mercedes-Benz","""GLE""",107770,557
"Mercedes-Benz","""S""",113705,585
"Mercedes-Benz","""220""",155000,86
"Mercedes-Benz","""SLR""",399800,625
"Mercedes-Benz","""GLC""",127330,510
"Mercedes-Benz","""S""",230000,455
"Mercedes-Benz","""S""",113633,455
"Mercedes-Benz","""519""",278480,190
"Mercedes-Benz","""SL""",995000,215
"Mercedes-Benz","""G""",136969,571
"Mercedes-Benz","""S""",126800,340
"Mercedes-Benz","""V""",130900,190
"Mercedes-Benz","""GT""",105885,510
"Mercedes-Benz","""S""",127940,455
"Mercedes-Benz","""G""",154700,571
"Mercedes-Benz","""G""",1100000,630
"Mercedes-Benz","""S""",137500,455
"Mercedes-Benz","""S""",134535,367
"Mercedes-Benz","""SL""",115000,150
"Mercedes-Benz","""220""",179900,80
"Mercedes-Benz","""SL""",169000,170
"Mercedes-Benz","""G""",279850,700
"Mercedes-Benz","""S""",217770,612
"Mercedes-Benz","""SL""",185000,105
"Mercedes-Benz","""G""",147700,571
"Mercedes-Benz","""SPRINTER""",265000,190
"Mercedes-Benz","""220SE""",199000,120
"Mercedes-Benz","""G""",236810,421
"Mercedes-Benz","""S""",475000,530
"Mercedes-Benz","""G""",102000,245
"Mercedes-Benz","""S""",106900,455
"Mercedes-Benz","""SLS""",399000,591
"Mercedes-Benz","""G""",149928,571
"Mercedes-Benz","""G""",139900,571
"Mercedes-Benz","""E""",109900,571
"Mercedes-Benz","""AMG""",169000,585
"Mercedes-Benz","""SL""",131900,585
"Mercedes-Benz","""S""",111980,455
"Mercedes-Benz","""G""",121000,421
"Mercedes-Benz","""SL""",149500,105
"Mercedes-Benz","""GT""",169960,557
"Mercedes-Benz","""SLS""",209950,571
"Mercedes-Benz","""G""",107850,421
"Mercedes-Benz","""S""",119530,530
"Mercedes-Benz","""G""",199900,421
"Mercedes-Benz","""G""",285000,678
"Mercedes-Benz","""S""",148790,469
"Mercedes-Benz","""S""",700000,530
"Mercedes-Benz","""SLS""",330000,591
"Mercedes-Benz","""GT""",124780,522
"Mercedes-Benz","""SE""",179000,160
"Mercedes-Benz","""GT""",169900,557
"Mercedes-Benz","""G""",1237600,630
"Mercedes-Benz","""G""",169900,544
"Mercedes-Benz","""SLR""",2622000,650
"Mercedes-Benz","""SL""",194900,170
"Mercedes-Benz","""Brabus""",309000,799
"Mercedes-Benz","""S""",3000000,630
"Mercedes-Benz","""SL""",125900,170
"Mercedes-Benz","""SL""",153000,109
"Mercedes-Benz","""S""",154850,530
"Mercedes-Benz","""E""",152320,612
"Mercedes-Benz","""G""",107750,421
"Mercedes-Benz","""S""",329900,530
"Mercedes-Benz","""GLE""",127959,585
"Mercedes-Benz","""S""",134500,469
"Mercedes-Benz","""GT""",102750,510
"Mercedes-Benz","""SLS""",369000,591
"Mercedes-Benz","""S""",122500,340
"Mercedes-Benz","""G""",139000,571
"Mercedes-Benz","""SLS""",189500,571
"Mercedes-Benz","""GT""",199650,522
"Mercedes-Benz","""SE""",139000,200
"BMW","""X6""",114030,381
"BMW","""540d""",100100,320
"BMW","""Z8""",275000,381
"BMW","""M550i""",112250,462
"BMW","""M5""",170000,600
"BMW","""BMW""",119950,235
"BMW","""M760""",131900,609
"BMW","""750i""",109500,449
"BMW","""750Li""",108000,449
"BMW","""750""",110914,449
"BMW","""750Li""",109000,449
"BMW","""750i""",106440,449
"BMW","""M5""",158000,600
"BMW","""Z8""",275000,381
"BMW","""X6""",165000,575
"BMW","""X6""",151075,575
"BMW","""540i""",100480,340
"BMW","""M5""",153510,600
"BMW","""M550i""",119450,462
"BMW","""X5""",103950,575
"BMW","""Z8""",249900,400
"BMW","""3200""",129115,160
