"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Size"
"1",5.1,3.5,1.4,0.2,"setosa","Ja"
"2",4.9,3,1.4,0.2,"setosa","Nein"
"3",4.7,3.2,1.3,0.2,"setosa","Nein"
"4",4.6,3.1,1.5,0.2,"setosa","Nein"
"5",5,3.6,1.4,0.2,"setosa","Nein"
"6",5.4,3.9,1.7,0.4,"setosa","Ja"
"7",4.6,3.4,1.4,0.3,"setosa","Nein"
"8",5,3.4,1.5,0.2,"setosa","Nein"
"9",4.4,2.9,1.4,0.2,"setosa","Nein"
"10",4.9,3.1,1.5,0.1,"setosa","Nein"
"11",5.4,3.7,1.5,0.2,"setosa","Ja"
"12",4.8,3.4,1.6,0.2,"setosa","Nein"
"13",4.8,3,1.4,0.1,"setosa","Nein"
"14",4.3,3,1.1,0.1,"setosa","Nein"
"15",5.8,4,1.2,0.2,"setosa","Ja"
"16",5.7,4.4,1.5,0.4,"setosa","Ja"
"17",5.4,3.9,1.3,0.4,"setosa","Ja"
"18",5.1,3.5,1.4,0.3,"setosa","Ja"
"19",5.7,3.8,1.7,0.3,"setosa","Ja"
"20",5.1,3.8,1.5,0.3,"setosa","Ja"
"21",5.4,3.4,1.7,0.2,"setosa","Ja"
"22",5.1,3.7,1.5,0.4,"setosa","Ja"
"23",4.6,3.6,1,0.2,"setosa","Nein"
"24",5.1,3.3,1.7,0.5,"setosa","Ja"
"25",4.8,3.4,1.9,0.2,"setosa","Nein"
"26",5,3,1.6,0.2,"setosa","Nein"
"27",5,3.4,1.6,0.4,"setosa","Nein"
"28",5.2,3.5,1.5,0.2,"setosa","Ja"
"29",5.2,3.4,1.4,0.2,"setosa","Ja"
"30",4.7,3.2,1.6,0.2,"setosa","Nein"
"31",4.8,3.1,1.6,0.2,"setosa","Nein"
"32",5.4,3.4,1.5,0.4,"setosa","Ja"
"33",5.2,4.1,1.5,0.1,"setosa","Ja"
"34",5.5,4.2,1.4,0.2,"setosa","Ja"
"35",4.9,3.1,1.5,0.2,"setosa","Nein"
"36",5,3.2,1.2,0.2,"setosa","Nein"
"37",5.5,3.5,1.3,0.2,"setosa","Ja"
"38",4.9,3.6,1.4,0.1,"setosa","Nein"
"39",4.4,3,1.3,0.2,"setosa","Nein"
"40",5.1,3.4,1.5,0.2,"setosa","Ja"
"41",5,3.5,1.3,0.3,"setosa","Nein"
"42",4.5,2.3,1.3,0.3,"setosa","Nein"
"43",4.4,3.2,1.3,0.2,"setosa","Nein"
"44",5,3.5,1.6,0.6,"setosa","Nein"
"45",5.1,3.8,1.9,0.4,"setosa","Ja"
"46",4.8,3,1.4,0.3,"setosa","Nein"
"47",5.1,3.8,1.6,0.2,"setosa","Ja"
"48",4.6,3.2,1.4,0.2,"setosa","Nein"
"49",5.3,3.7,1.5,0.2,"setosa","Ja"
"50",5,3.3,1.4,0.2,"setosa","Nein"
"51",7,3.2,4.7,1.4,"versicolor","Ja"
"52",6.4,3.2,4.5,1.5,"versicolor","Ja"
"53",6.9,3.1,4.9,1.5,"versicolor","Ja"
"54",5.5,2.3,4,1.3,"versicolor","Ja"
"55",6.5,2.8,4.6,1.5,"versicolor","Ja"
"56",5.7,2.8,4.5,1.3,"versicolor","Ja"
"57",6.3,3.3,4.7,1.6,"versicolor","Ja"
"58",4.9,2.4,3.3,1,"versicolor","Nein"
"59",6.6,2.9,4.6,1.3,"versicolor","Ja"
"60",5.2,2.7,3.9,1.4,"versicolor","Ja"
"61",5,2,3.5,1,"versicolor","Nein"
"62",5.9,3,4.2,1.5,"versicolor","Ja"
"63",6,2.2,4,1,"versicolor","Ja"
"64",6.1,2.9,4.7,1.4,"versicolor","Ja"
"65",5.6,2.9,3.6,1.3,"versicolor","Ja"
"66",6.7,3.1,4.4,1.4,"versicolor","Ja"
"67",5.6,3,4.5,1.5,"versicolor","Ja"
"68",5.8,2.7,4.1,1,"versicolor","Ja"
"69",6.2,2.2,4.5,1.5,"versicolor","Ja"
"70",5.6,2.5,3.9,1.1,"versicolor","Ja"
"71",5.9,3.2,4.8,1.8,"versicolor","Ja"
"72",6.1,2.8,4,1.3,"versicolor","Ja"
"73",6.3,2.5,4.9,1.5,"versicolor","Ja"
"74",6.1,2.8,4.7,1.2,"versicolor","Ja"
"75",6.4,2.9,4.3,1.3,"versicolor","Ja"
"76",6.6,3,4.4,1.4,"versicolor","Ja"
"77",6.8,2.8,4.8,1.4,"versicolor","Ja"
"78",6.7,3,5,1.7,"versicolor","Ja"
"79",6,2.9,4.5,1.5,"versicolor","Ja"
"80",5.7,2.6,3.5,1,"versicolor","Ja"
"81",5.5,2.4,3.8,1.1,"versicolor","Ja"
"82",5.5,2.4,3.7,1,"versicolor","Ja"
"83",5.8,2.7,3.9,1.2,"versicolor","Ja"
"84",6,2.7,5.1,1.6,"versicolor","Ja"
"85",5.4,3,4.5,1.5,"versicolor","Ja"
"86",6,3.4,4.5,1.6,"versicolor","Ja"
"87",6.7,3.1,4.7,1.5,"versicolor","Ja"
"88",6.3,2.3,4.4,1.3,"versicolor","Ja"
"89",5.6,3,4.1,1.3,"versicolor","Ja"
"90",5.5,2.5,4,1.3,"versicolor","Ja"
"91",5.5,2.6,4.4,1.2,"versicolor","Ja"
"92",6.1,3,4.6,1.4,"versicolor","Ja"
"93",5.8,2.6,4,1.2,"versicolor","Ja"
"94",5,2.3,3.3,1,"versicolor","Nein"
"95",5.6,2.7,4.2,1.3,"versicolor","Ja"
"96",5.7,3,4.2,1.2,"versicolor","Ja"
"97",5.7,2.9,4.2,1.3,"versicolor","Ja"
"98",6.2,2.9,4.3,1.3,"versicolor","Ja"
"99",5.1,2.5,3,1.1,"versicolor","Ja"
"100",5.7,2.8,4.1,1.3,"versicolor","Ja"
"101",6.3,3.3,6,2.5,"virginica","Ja"
"102",5.8,2.7,5.1,1.9,"virginica","Ja"
"103",7.1,3,5.9,2.1,"virginica","Ja"
"104",6.3,2.9,5.6,1.8,"virginica","Ja"
"105",6.5,3,5.8,2.2,"virginica","Ja"
"106",7.6,3,6.6,2.1,"virginica","Ja"
"107",4.9,2.5,4.5,1.7,"virginica","Nein"
"108",7.3,2.9,6.3,1.8,"virginica","Ja"
"109",6.7,2.5,5.8,1.8,"virginica","Ja"
"110",7.2,3.6,6.1,2.5,"virginica","Ja"
"111",6.5,3.2,5.1,2,"virginica","Ja"
"112",6.4,2.7,5.3,1.9,"virginica","Ja"
"113",6.8,3,5.5,2.1,"virginica","Ja"
"114",5.7,2.5,5,2,"virginica","Ja"
"115",5.8,2.8,5.1,2.4,"virginica","Ja"
"116",6.4,3.2,5.3,2.3,"virginica","Ja"
"117",6.5,3,5.5,1.8,"virginica","Ja"
"118",7.7,3.8,6.7,2.2,"virginica","Ja"
"119",7.7,2.6,6.9,2.3,"virginica","Ja"
"120",6,2.2,5,1.5,"virginica","Ja"
"121",6.9,3.2,5.7,2.3,"virginica","Ja"
"122",5.6,2.8,4.9,2,"virginica","Ja"
"123",7.7,2.8,6.7,2,"virginica","Ja"
"124",6.3,2.7,4.9,1.8,"virginica","Ja"
"125",6.7,3.3,5.7,2.1,"virginica","Ja"
"126",7.2,3.2,6,1.8,"virginica","Ja"
"127",6.2,2.8,4.8,1.8,"virginica","Ja"
"128",6.1,3,4.9,1.8,"virginica","Ja"
"129",6.4,2.8,5.6,2.1,"virginica","Ja"
"130",7.2,3,5.8,1.6,"virginica","Ja"
"131",7.4,2.8,6.1,1.9,"virginica","Ja"
"132",7.9,3.8,6.4,2,"virginica","Ja"
"133",6.4,2.8,5.6,2.2,"virginica","Ja"
"134",6.3,2.8,5.1,1.5,"virginica","Ja"
"135",6.1,2.6,5.6,1.4,"virginica","Ja"
"136",7.7,3,6.1,2.3,"virginica","Ja"
"137",6.3,3.4,5.6,2.4,"virginica","Ja"
"138",6.4,3.1,5.5,1.8,"virginica","Ja"
"139",6,3,4.8,1.8,"virginica","Ja"
"140",6.9,3.1,5.4,2.1,"virginica","Ja"
"141",6.7,3.1,5.6,2.4,"virginica","Ja"
"142",6.9,3.1,5.1,2.3,"virginica","Ja"
"143",5.8,2.7,5.1,1.9,"virginica","Ja"
"144",6.8,3.2,5.9,2.3,"virginica","Ja"
"145",6.7,3.3,5.7,2.5,"virginica","Ja"
"146",6.7,3,5.2,2.3,"virginica","Ja"
"147",6.3,2.5,5,1.9,"virginica","Ja"
"148",6.5,3,5.2,2,"virginica","Ja"
"149",6.2,3.4,5.4,2.3,"virginica","Ja"
"150",5.9,3,5.1,1.8,"virginica","Ja"
